United_States	12810.696316671087
2007	8159.113728956698
2008	7886.093686177989
Geographic_coordinate_system	7275.127835822937
United_Kingdom	5826.635099830256
2006	5014.404767519407
France	4197.888814804572
Wikimedia_Commons	4164.22667513677
Canada	3769.910788409749
Wiktionary	3714.2571317055877
2005	3583.7680798360934
England	3488.3225964390954
Biography	3455.8418969029326
Germany	3364.344625704667
United_States_postal_abbreviations	3190.9223377002
Australia	3064.8028246182953
English_language	2941.357165895582
World_War_II	2914.369814878133
Japan	2825.455820920319
List_of_U._S._postal_abbreviations	2730.4161546091213
Europe	2659.3656421983433
India	2565.236393036521
2004	2528.8948762668088
Race_and_ethnicity_in_the_United_States_Census	2407.816159087745
Music_genre	2356.5909651517295
Italy	2304.3565862363066
Internet_Movie_Database	2295.634947879091
Record_label	2293.530040619947
Biological_classification	2224.0830200410264
London	2102.640172418633
Area	2102.335180035132
Plural	2096.664388916009
Population_density	2018.9134163444749
Binomial_nomenclature	2005.6101902332862
Spain	1961.19584960384
2003	1960.997382641414
Russia	1959.3179839177346
Association_football	1904.29874520025
New_York_City	1898.3236554574587
Time_zone	1879.5875947888353
Latin	1846.0542169601533
Digital_object_identifier	1841.1977569711905
Website	1780.747924112116
Poland	1712.642730745922
2001	1685.0614792506149
Roman_Catholic_Church	1648.6810989803746
2002	1630.2723881913228
China	1619.6337389228784
Netherlands	1575.463061446834
Public_domain	1571.4228562480325
